Primary Symptom,Q1,Q2,Q3,Q4,Q5,Q6,Urgency,Recommended Test 1,Test 1 Description,Recommended Test 2,Test 2 Description,Recommended Test 3,Test 3 Description,Recommended Test 4,Test 4 Description,Recommended Test 5,Test 5 Description,Recommended Test 6,Test 6 Description
Fatigue,0,3,1,1,0,0,Urgent,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Fatigue,0,2,1,0,0,0,Routine,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,,
Fatigue,0,1,1,1,1,0,Soon,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Fatigue,0,1,1,0,0,1,Routine,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.
Fatigue,0,1,1,0,0,0,Routine,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,,
Fatigue,0,1,0,1,0,1,Soon,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.
Fatigue,0,3,0,0,1,0,Soon,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,,,,
Fatigue,1,2,1,0,0,0,Routine,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Fatigue,0,2,0,1,0,1,Soon,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.,Echocardiogram,An ultrasound of your heart that shows how well it is pumping and whether valves are working properly.
Fatigue,1,3,0,0,1,1,Soon,Complete Blood Count (CBC),"A blood test that checks your red cells, white cells, and platelets — helps detect anemia, infection, or other issues.",Iron Studies,A blood test that checks your iron stores — low iron is one of the most common causes of persistent fatigue.,Fasting Blood Glucose,A blood test taken after fasting overnight to check your blood sugar level and screen for diabetes.,ECG,Records your heart's electrical activity to detect irregularities in rhythm or signs of a heart attack.,Thyroid Function Tests,A blood test that measures your thyroid hormone levels — an overactive or underactive thyroid can cause heart and energy symptoms.,BNP Test,A blood test that measures a hormone released by your heart when it is under strain — used to detect heart failure.
